#{"t_start": 1591108542.778246, "env_id": null}
r,l,t
-88594.607796,1042,792.428107
-66992.145895,1027,793.669163
-34849.033552,1076,794.965793
-104743.647484,1085,796.28563
-67513.714556,1143,797.688433
-54032.165578,1164,799.089466
-32644.209838,1183,800.534614
-34852.553343,984,801.744223
-67896.415158,1032,802.989233
-73833.057126,1118,804.354267
-15359.937963,1065,805.644379
-25763.845345,1071,807.007728
-55720.191245,1105,808.352441
-18649.062437,1097,809.657853
-55853.38423,991,810.866906
-13670.158946,1047,812.151617
-23124.75006,1076,813.459948
-38047.856016,1079,814.757556
-60750.136686,1199,816.26308
-33872.055533,982,817.446523
-66359.115389,978,818.65358
-21859.020944,1416,820.362099
-51825.158521,1235,821.878525
-46517.609025,979,823.037136
-14548.21059,990,824.27288
-76686.314865,1021,825.517748
-48684.285621,1025,826.770438
-13881.701311,1174,828.249169
-43952.785789,1262,829.778562
-18582.17343,1153,831.164287
-43671.311029,1001,832.392698
-55866.000975,1061,833.673467
-52101.942709,1530,835.53734
-60627.855947,1046,836.795908
-29326.852189,1015,838.039269
-41543.750923,1064,839.31029
-50260.789599,1166,840.755421
-49556.394665,1091,842.062641
-72482.706497,1079,843.382552
-39132.486131,1076,844.675138
-34697.283957,1009,845.922861
-74870.022437,1008,847.141409
-81955.581466,1209,848.65883
-55128.082647,1003,849.863454
-31706.694239,1037,851.111878
-72052.97341,1272,852.65552
-81266.139085,986,853.856612
-67482.680449,1103,855.165822
-45671.722936,1204,856.651701
-84784.243737,1049,857.922434
-30746.203682,1361,859.58147
-88079.878968,1066,860.857603
-83940.691093,1000,862.077489
-78175.324779,1030,863.324396
-31798.860475,1057,864.594292
-50411.829815,1080,865.90033
-10990.84505,1413,867.628062
-106354.783354,1102,868.972752
-101990.886659,1053,870.324504
-104228.764193,1013,871.564844
-66462.058257,1070,872.875345
-53785.005965,1005,874.082019
-72590.59606,1396,875.766171
-53339.719992,1047,877.079503
-64259.856175,1166,878.478316
-18829.990286,1076,879.799346
-54992.945651,1246,881.315798
-26028.448051,1223,882.782626
-47385.565288,1074,884.110508
-26510.570481,1056,885.37035
-56740.659377,1019,886.619278
-56869.648908,1011,887.850162
-128059.331171,1046,889.108599
-24490.292824,1002,890.34363
-107844.059069,1043,891.597509
-57451.439547,1086,892.889693
