#{"t_start": 1591196038.852184, "env_id": null}
r,l,t
-483.693376,2736,1247.934988
-2679.696998,470,1248.581053
-2774.103782,313,1249.022528
-1103.785232,602,1249.791005
-1471.455749,212,1250.07369
-1173.110475,220,1250.39023
-531.101695,674,1251.267913
-3623.494551,519,1251.966091
-3508.150719,438,1252.528447
-56.248062,171,1252.769062
-813.96961,458,1253.372258
-527.92478,173,1253.632252
-372.983818,114,1253.773746
-1010.752798,358,1254.224175
-2172.152166,500,1254.909965
-3995.896524,447,1255.518358
-347.510622,316,1255.928628
-130.006982,89,1256.045397
-3946.158711,505,1256.708318
-558.614766,469,1257.328455
-1128.281537,525,1258.041511
-25.368458,71,1258.118139
-2049.813369,458,1258.747151
-3262.928001,590,1259.512265
-665.431687,402,1260.046247
-2769.79583,395,1260.604683
-3346.113092,714,1261.547856
-1250.565196,310,1261.96761
-171.369149,132,1262.156918
-2132.362768,584,1262.908674
-1816.854694,417,1263.441416
-3943.148558,572,1264.22149
-1616.118858,485,1264.87168
-2565.639744,515,1265.573035
-95.701143,154,1265.759172
-1267.567597,301,1266.156305
-125.162338,287,1266.557646
-2251.034154,363,1267.026964
-133.244969,140,1267.220668
-2164.906006,396,1267.751649
-1393.74712,372,1268.263073
-78.013592,35,1268.328936
-3614.283309,534,1269.038115
-378.514077,248,1269.373047
-3830.676898,575,1270.128721
-670.990408,639,1270.992886
-153.075436,102,1271.134429
-3508.625426,588,1271.94852
-63.933956,31,1271.982227
-1799.043271,490,1272.634559
-1702.284455,491,1273.310915
-2187.666381,329,1273.719039
-1151.838171,970,1275.034286
-952.64919,291,1275.409675
-3602.261429,378,1275.933392
-1741.583355,431,1276.508955
-3486.544437,454,1277.14569
-3540.153195,489,1277.820958
-808.29281,344,1278.276029
-1638.579926,206,1278.578295
-28.703311,73,1278.707397
-953.313884,399,1279.22643
-1078.058902,331,1279.665932
-3236.980483,428,1280.291101
-1572.48436,358,1280.768432
-2615.028736,380,1281.285729
-510.386868,347,1281.761081
-4062.826804,543,1282.508074
-4056.122854,400,1283.07817
-4188.809382,348,1283.546688
-288.484034,205,1283.842999
-1824.270922,362,1284.336081
-2082.310048,209,1284.606539
-1633.245579,464,1285.249339
-589.7534,366,1285.750943
-238.257816,232,1286.078878
-241.890847,229,1286.368419
-4436.998969,443,1287.011017
-160.505306,318,1287.424661
-928.895121,299,1287.853675
-295.07639,61,1287.924151
-934.458843,294,1288.34313
-1704.433277,306,1288.778463
-1725.796785,484,1289.458445
-282.093698,261,1289.812614
-57.836331,256,1290.157431
-163.690505,109,1290.293123
-2589.672246,320,1290.739736
-310.023529,268,1291.115603
-1347.305837,412,1291.670357
-2508.888498,561,1292.477688
-873.550244,126,1292.638226
-290.998753,803,1293.812383
-1215.811735,365,1294.306182
-598.109865,361,1294.823849
-3663.798028,491,1295.477126
-653.447661,132,1295.651787
-1994.126105,315,1296.089611
-2439.383024,353,1296.602407
-474.314427,419,1297.142112
-2792.685724,349,1297.647257
-3861.319904,566,1298.408069
-190.085573,161,1298.629582
-2446.16858,550,1299.407317
-1916.915494,424,1299.956622
-46.30711,108,1300.127017
-599.64421,316,1300.540387
-533.50782,330,1300.993009
-410.880834,216,1301.269789
-2391.86499,409,1301.858128
-129.545363,51,1301.928679
-163.371,471,1302.579978
-1196.298862,154,1302.768963
-21.606409,72,1302.899274
-3535.24027,545,1303.645168
-227.851869,357,1304.123194
-1878.098327,716,1305.119306
-2865.395337,408,1305.658135
-1515.351407,555,1306.424416
-561.524021,232,1306.738073
-534.866036,184,1306.974302
-23.86339,66,1307.039301
-83.741783,174,1307.295708
-643.897769,520,1307.998668
-2208.388406,586,1308.758677
-1890.895477,424,1309.344404
-435.337049,161,1309.537156
-1105.095099,385,1310.068403
-696.211302,246,1310.396984
-177.896655,259,1310.732802
-420.135789,350,1311.189176
-308.552653,146,1311.406511
-324.311116,240,1311.725208
-2232.96403,415,1312.270143
-599.29943,328,1312.723275
-305.284098,328,1313.138373
-623.76827,408,1313.674968
-1081.378565,271,1314.032185
-705.477305,90,1314.160837
-72.125368,105,1314.31364
-1731.049468,151,1314.493766
-216.160585,145,1314.692476
-843.212654,115,1314.840954
-1012.572848,372,1315.359864
-827.914503,142,1315.546935
-178.079383,100,1315.689858
-3765.430023,432,1316.242801
-2843.779045,496,1316.902671
-1066.975738,350,1317.391271
-3126.404831,476,1318.041433
-1337.019444,176,1318.259608
-132.280115,150,1318.452365
-12.456175,42,1318.523398
-1191.647305,156,1318.736208
-2934.808633,379,1319.212117
-451.909142,132,1319.415228
-1990.105789,233,1319.726542
-168.142179,39,1319.768857
-1937.229344,462,1320.3583
-1813.234654,230,1320.688161
-158.236274,58,1320.776779
-546.511405,116,1320.951621
-678.730259,199,1321.181193
-1101.609397,184,1321.440156
-219.614848,201,1321.694144
-831.510499,187,1321.966039
-1724.294782,356,1322.417463
-1088.525894,215,1322.716011
-974.219058,277,1323.070234
-126.246035,275,1323.440745
-135.17812,345,1323.893565
1.0,1,1323.89721
-754.806286,244,1324.218833
-795.849895,298,1324.610934
-1081.711751,434,1325.204913
-64.248429,27,1325.234851
-1161.07653,165,1325.454334
-939.464656,251,1325.786032
-87.069586,188,1326.066299
-21.733304,134,1326.230237
-776.685209,152,1326.426659
-1130.099475,435,1326.971784
-21.036947,51,1327.049944
-2108.959016,438,1327.621907
1.0,1,1327.625576
-994.401574,452,1328.213918
-532.960429,444,1328.752402
-5201.27293,682,1329.61987
-1012.125809,379,1330.123266
-2939.05121,420,1330.664503
-1291.670654,359,1331.146992
-595.888075,542,1331.82315
-1545.171761,337,1332.224953
-2787.273056,475,1332.844691
-313.720804,308,1333.216858
-75.700578,137,1333.430614
-273.559439,369,1333.864182
-3070.98022,459,1334.464876
-580.787508,253,1334.786294
-1593.060616,413,1335.316279
-142.816819,43,1335.386916
-1286.58188,491,1335.979775
-3590.442598,705,1336.911755
-133.411208,340,1337.345648
-1141.407973,516,1338.005802
-1672.067136,435,1338.562847
-2189.381093,418,1339.113781
-10.935357,37,1339.185738
-303.825235,67,1339.249283
-426.548243,115,1339.386428
-80.050543,169,1339.606476
-620.711208,90,1339.718935
-794.914191,166,1339.93188
-1339.954629,317,1340.358624
-784.339257,333,1340.771365
-937.220523,424,1341.338143
-79.548307,112,1341.479278
-55.573348,204,1341.724174
-501.841514,275,1342.062309
-185.351638,153,1342.291897
-405.606217,290,1342.649754
-1956.991063,348,1343.074983
-4571.47158,556,1343.787392
-990.856528,376,1344.288247
-2864.557846,468,1344.859146
-683.791168,383,1345.355058
-3261.949421,484,1345.988596
-382.660592,343,1346.426096
-303.934282,146,1346.632044
-2468.097695,221,1346.926204
-635.102729,204,1347.157558
-1375.301584,396,1347.659571
-1363.96994,448,1348.253501
-330.164632,457,1348.847769
-71.171413,151,1349.050154
-876.760569,194,1349.272975
-823.245266,317,1349.704816
-25.232541,58,1349.761258
-557.998064,199,1350.031507
-2332.560667,345,1350.444352
-453.691178,86,1350.558666
-459.506477,163,1350.769124
-111.085244,345,1351.202853
-457.905201,390,1351.714473
-1504.249454,523,1352.376883
-590.139539,201,1352.650894
-1104.589818,161,1352.828903
-851.514643,237,1353.146261
-2304.640079,311,1353.519338
-1223.09312,461,1354.113844
-304.798644,75,1354.210685
-603.368253,264,1354.579528
-824.549965,276,1354.927003
-573.663942,94,1355.035043
-574.250934,252,1355.3537
-269.905388,450,1355.937982
-2028.001933,536,1356.610161
-1545.185687,341,1357.072717
-1751.58191,193,1357.292154
-3915.783747,491,1357.987264
-1174.372035,439,1358.583654
-544.651574,130,1358.762921
-2276.377687,455,1359.299303
-3150.173224,410,1359.828483
-109.286462,129,1359.988685
-203.846102,44,1360.07582
-2261.56558,408,1360.566624
-284.8678,75,1360.662857
-3391.680585,358,1361.132585
-27.560428,146,1361.311991
-170.080673,167,1361.548855
-2173.1335,264,1361.877852
-60.660969,24,1361.901682
-1608.401643,310,1362.278562
-192.33869,170,1362.523849
-946.311951,353,1362.933925
-714.94123,130,1363.105253
-390.141292,418,1363.643162
-22.078263,79,1363.729967
-291.508559,100,1363.871938
-373.70725,185,1364.13118
-445.17916,363,1364.558173
-154.955046,169,1364.806558
-1416.943882,296,1365.164084
-865.913793,317,1365.543276
-1324.47735,148,1365.773037
-194.347629,346,1366.178615
-3399.913647,541,1366.884762
-1253.409312,219,1367.152144
-3856.924104,561,1367.90084
-1971.458875,410,1368.402087
-1073.191281,136,1368.585692
-109.852377,136,1368.742228
-2269.74776,497,1369.381359
-106.932864,127,1369.558157
-1322.586365,202,1369.801028
-943.234783,323,1370.220819
-779.595754,148,1370.39425
-99.451644,267,1370.728524
-716.518247,317,1371.166682
-300.638817,170,1371.355439
-415.715856,225,1371.64867
-2132.267562,391,1372.15829
-631.560626,188,1372.381479
-106.61418,125,1372.541748
-277.892246,68,1372.633956
-2793.950535,452,1373.212063
-1120.595988,285,1373.612366
-1441.495766,345,1374.050131
-3987.134906,381,1374.553036
-830.708943,317,1375.001404
-411.339655,324,1375.423452
-38.377576,68,1375.520026
-227.319574,49,1375.57572
-1248.924152,607,1376.396594
-1144.738427,367,1376.874414
-3116.241841,347,1377.320265
-299.3424,309,1377.754273
-618.940893,277,1378.109889
-472.25819,226,1378.414231
-994.957131,180,1378.628928
-56.031862,293,1379.049707
-61.754192,26,1379.077111
-13.229917,63,1379.137881
-58.883957,26,1379.163342
-1385.844693,205,1379.450869
-80.842569,56,1379.506347
-3380.711921,512,1380.173776
-2069.637955,299,1380.584903
-1262.470897,217,1380.851588
-2013.209385,237,1381.170245
